original,original size,compressed,compressed size,percent of original
./data/6322676_4F7DDD79.ZDL,29776,./out/6322676_4F7DDD79.ZDL.out,2707,9.09121
./data/6323741_4F7DB836.ZDL,29776,./out/6323741_4F7DB836.ZDL.out,4302,14.4479
./data/6325183_4F7E0850.ZDL,29776,./out/6325183_4F7E0850.ZDL.out,5223,17.541
./data/6328063_4F7E0F53.ZDL,29776,./out/6328063_4F7E0F53.ZDL.out,6279,21.0875
./data/6328320_4F7E1227.ZDL,29776,./out/6328320_4F7E1227.ZDL.out,4238,14.2329
./data/6329407_4F7E115E.ZDL,29928,./out/6329407_4F7E115E.ZDL.out,1940,6.48222
./data/6330889_4F7E1183.ZDL,29776,./out/6330889_4F7E1183.ZDL.out,6277,21.0807
./data/6331081_4F7E0C6D.ZDL,29776,./out/6331081_4F7E0C6D.ZDL.out,7672,25.7657
./data/6332755_4F7E03F1.ZDL,14176,./out/6332755_4F7E03F1.ZDL.out,1187,8.37331
./data/6332755_4F7E0C9A.ZDL,20416,./out/6332755_4F7E0C9A.ZDL.out,1938,9.49255
./data/6334123_4F7E07E5.ZDL,29776,./out/6334123_4F7E07E5.ZDL.out,6150,20.6542
./data/6336652_4F7E10CE.ZDL,29776,./out/6336652_4F7E10CE.ZDL.out,3140,10.5454
./data/6337345_4F7E0BB4.ZDL,29832,./out/6337345_4F7E0BB4.ZDL.out,4049,13.5727
./data/6338212_4F7DA451.ZDL,29776,./out/6338212_4F7DA451.ZDL.out,5410,18.169
./data/6338724_4F7E0E87.ZDL,30296,./out/6338724_4F7E0E87.ZDL.out,5107,16.857
